"","pref_hiring_women","pref_hiring_blacks","racial_quotas_sports","redistribute_blacks","first_daughter","age","abortion_defect","abortion_income","race","sex","survey","anc_support","how_many_kids","how_many_daughters","benchwgt","prov","geotype","any_daughters","urban","black","white","coloured","indian","pref_hiring_women2","pref_hiring_blacks2","racial_quotas_sports2","redistribute_blacks2","pref_hiring_binary","abortion_defect_binary","abortion_income_binary"
"115","neither agree nor disagree","strongly disagree","disagree","disagree",0,50,"always wrong","always wrong","coloured",0,"sas11",0,2,1,9708.58727158738,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","strongly disagree","disagree","disagree",0,0,0
"117","neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",1,55,"always wrong","always wrong","coloured",1,"sas11",0,3,3,5849.63152107235,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,0,0
"119","strongly agree","strongly disagree","strongly disagree","strongly disagree",0,62,"always wrong","always wrong","coloured",1,"sas11",0,2,0,4301.6000528144,"wc","urban,formal",0,1,0,0,1,0,"strongly agree","strongly disagree","strongly disagree","strongly disagree",1,0,0
"120","strongly disagree","neither agree nor disagree","strongly disagree","strongly disagree",0,56,"not wrong at all","always wrong","coloured",1,"sas11",0,2,0,7312.03940134044,"wc","urban,formal",0,1,0,0,1,0,"strongly disagree","neither agree nor disagree","strongly disagree","strongly disagree",0,1,0
"122","neither agree nor disagree","strongly disagree","agree","agree",0,58,"always wrong","always wrong","coloured",1,"sas11",0,2,0,5825.15236295243,"wc","urban,formal",0,1,0,0,1,0,"neither agree nor disagree","strongly disagree","agree","agree",0,0,0
"126","agree","disagree","strongly disagree","agree",1,39,"always wrong","always wrong","coloured",1,"sas11",0,5,2,7654.83647285616,"wc","urban,formal",1,1,0,0,1,0,"agree","disagree","strongly disagree","agree",1,0,0
"128","agree","disagree","do not know","neither agree nor disagree",1,29,"always wrong","always wrong","coloured",1,"sas11",0,2,1,6479.96198065329,"wc","urban,formal",1,1,0,0,1,0,"agree","disagree","neither agree nor disagree","neither agree nor disagree",1,0,0
"130","strongly disagree","disagree","strongly disagree","strongly disagree",1,33,"always wrong","always wrong","white",1,"sas11",0,3,2,9824.69598869106,"wc","urban,formal",1,1,0,1,0,0,"strongly disagree","disagree","strongly disagree","strongly disagree",0,0,0
"132","neither agree nor disagree","strongly disagree","strongly disagree","agree",1,53,"not wrong at all","always wrong","white",1,"sas11",0,1,1,10488.747170681,"wc","urban,formal",1,1,0,1,0,0,"neither agree nor disagree","strongly disagree","strongly disagree","agree",0,1,0
"133","agree","disagree","disagree","agree",1,43,"almost always wrong","always wrong","white",1,"sas11",0,2,1,8824.79740490377,"wc","urban,formal",1,1,0,1,0,0,"agree","disagree","disagree","agree",1,0,0
"136","strongly disagree","strongly disagree","strongly disagree","strongly disagree",1,53,"not wrong at all","not wrong at all","white",0,"sas11",0,2,1,23836.0327452178,"wc","urban,formal",1,1,0,1,0,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,1,1
"138","disagree","strongly disagree","strongly agree","disagree",1,63,"always wrong","always wrong","coloured",0,"sas11",0,1,1,22320.388577325,"wc","urban,formal",1,1,0,0,1,0,"disagree","strongly disagree","strongly agree","disagree",0,0,0
"139","agree","disagree","agree","strongly disagree",0,63,"always wrong","always wrong","coloured",1,"sas11",0,1,0,6691.37785993352,"wc","urban,formal",0,1,0,0,1,0,"agree","disagree","agree","strongly disagree",1,0,0
"140","agree","neither agree nor disagree","agree","neither agree nor disagree",0,37,"wrong only sometimes","always wrong","white",1,"sas11",0,3,1,5993.57009553665,"wc","urban,formal",1,1,0,1,0,0,"agree","neither agree nor disagree","agree","neither agree nor disagree",1,1,0
"141","do not know","neither agree nor disagree","strongly agree","agree",0,49,"wrong only sometimes","always wrong","white",1,"sas11",0,1,0,5993.57009553665,"wc","urban,formal",0,1,0,1,0,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","agree",0,1,0
"146","agree","neither agree nor disagree","agree","neither agree nor disagree",1,74,"wrong only sometimes","always wrong","coloured",0,"sas11",0,2,2,8877.21871679989,"wc","urban,formal",1,1,0,0,1,0,"agree","neither agree nor disagree","agree","neither agree nor disagree",1,1,0
"148","neither agree nor disagree","disagree","neither agree nor disagree","agree",1,58,"almost always wrong","wrong only sometimes","coloured",0,"sas11",0,1,1,5825.15236295243,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","disagree","neither agree nor disagree","agree",0,0,1
"153","agree","agree","agree","strongly agree",0,57,"wrong only sometimes","wrong only sometimes","coloured",1,"sas11",0,2,1,5849.63152107235,"wc","urban,formal",1,1,0,0,1,0,"agree","agree","agree","strongly agree",1,1,1
"157","agree","agree","agree","strongly disagree",1,40,"always wrong","always wrong","coloured",1,"sas11",0,1,1,6659.76868277096,"wc","urban,formal",1,1,0,0,1,0,"agree","agree","agree","strongly disagree",1,0,0
"165","strongly agree","neither agree nor disagree","strongly agree","strongly disagree",1,NA,"always wrong","always wrong",NA,NA,"sas11",0,2,1,5741.12735464212,"wc","urban,formal",1,1,0,0,0,0,"strongly agree","neither agree nor disagree","strongly agree","strongly disagree",1,0,0
"168","do not know","do not know","agree","neither agree nor disagree",0,32,"always wrong","always wrong","indian or asian",1,"sas11",0,3,1,3562.30478955191,"wc","urban,formal",1,1,0,0,0,1,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"173","neither agree nor disagree","neither agree nor disagree","agree","agree",0,32,"always wrong","always wrong","coloured",1,"sas11",0,1,0,6479.96198065329,"wc","urban,formal",0,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","agree",0,0,0
"175","agree","neither agree nor disagree","agree","disagree",1,33,"wrong only sometimes","not wrong at all","black or african",1,"sas11",0,1,1,6116.87494309322,"wc","urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","agree","disagree",1,1,1
"176","disagree","strongly disagree","agree","disagree",0,24,"wrong only sometimes","wrong only sometimes","black or african",0,"sas11",1,2,1,22062.5883845368,"wc","urban,formal",1,1,1,0,0,0,"disagree","strongly disagree","agree","disagree",0,1,1
"177","neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,41,"almost always wrong","always wrong","black or african",1,"sas11",0,1,0,17642.0909237358,"wc","urban,formal",0,1,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"178","agree","neither agree nor disagree","agree","disagree",0,43,"always wrong","always wrong","black or african",0,"sas11",1,1,0,34166.3148757971,"wc","urban,formal",0,1,1,0,0,0,"agree","neither agree nor disagree","agree","disagree",1,0,0
"180","neither agree nor disagree","neither agree nor disagree","agree","agree",1,26,"not wrong at all","not wrong at all","black or african",1,"sas11",1,1,1,18350.6248292796,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","agree",0,1,1
"184","neither agree nor disagree","strongly disagree","strongly disagree","agree",1,35,"always wrong","not wrong at all","coloured",0,"sas11",0,2,2,2497.22699339263,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","strongly disagree","strongly disagree","agree",0,0,1
"187","agree","agree","agree","strongly disagree",1,46,"always wrong","always wrong","indian or asian",1,"sas11",0,4,2,2261.51878523285,"wc","urban,formal",1,1,0,0,0,1,"agree","agree","agree","strongly disagree",1,0,0
"188","neither agree nor disagree","agree","agree","agree",1,45,"not wrong at all","not wrong at all","black or african",0,"sas11",1,3,1,11398.0292546246,"wc","urban,informal",1,0,1,0,0,0,"neither agree nor disagree","agree","agree","agree",0,1,1
"189","agree","agree","agree","agree",1,45,"always wrong","always wrong","black or african",1,"sas11",0,1,1,22796.0585092493,"wc","urban,informal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"191","agree","agree","neither agree nor disagree","agree",1,63,"always wrong","always wrong","black or african",0,"sas11",1,2,1,21779.2779209874,"wc","urban,informal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"192","strongly agree","agree","neither agree nor disagree","agree",1,61,"wrong only sometimes","not wrong at all","black or african",1,"sas11",0,1,1,22498.2031446467,"wc","urban,informal",1,0,1,0,0,0,"strongly agree","agree","neither agree nor disagree","agree",1,1,1
"198","strongly agree","neither agree nor disagree","agree","strongly disagree",1,49,"always wrong","always wrong","coloured",1,"sas11",0,1,1,2924.81576053618,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","neither agree nor disagree","agree","strongly disagree",1,0,0
"199","agree","do not know","neither agree nor disagree","strongly disagree",0,49,"almost always wrong","always wrong","coloured",1,"sas11",0,2,1,5849.63152107235,"wc","urban,formal",1,1,0,0,1,0,"agree","neither agree nor disagree","neither agree nor disagree","strongly disagree",1,0,0
"200","disagree","disagree","disagree","strongly disagree",1,52,"always wrong","always wrong","coloured",1,"sas11",NA,2,1,4387.22364080427,"wc","urban,formal",1,1,0,0,1,0,"disagree","disagree","disagree","strongly disagree",0,0,0
"203","agree","agree","neither agree nor disagree","strongly disagree",1,42,"wrong only sometimes","almost always wrong","black or african",1,"sas11",0,2,2,5126.30773271229,"wc","urban,informal",1,0,1,0,0,0,"agree","agree","neither agree nor disagree","strongly disagree",1,1,0
"209","strongly agree","agree","neither agree nor disagree","neither agree nor disagree",0,61,"not wrong at all","not wrong at all","black or african",1,"sas11",0,3,2,11146.2695324473,"wc","urban,informal",1,0,1,0,0,0,"strongly agree","agree","neither agree nor disagree","neither agree nor disagree",1,1,1
"210","agree","agree","agree","agree",1,NA,"not wrong at all","wrong only sometimes",NA,NA,"sas11",0,1,1,2924.81576053618,"wc","urban,formal",1,1,0,0,0,0,"agree","agree","agree","agree",1,1,1
"211","strongly agree","neither agree nor disagree","agree","strongly disagree",1,NA,"almost always wrong","always wrong",NA,NA,"sas11",0,1,1,4387.22364080427,"wc","urban,formal",1,1,0,0,0,0,"strongly agree","neither agree nor disagree","agree","strongly disagree",1,0,0
"212","neither agree nor disagree","do not know","do not know","neither agree nor disagree",0,53,"not wrong at all","always wrong","coloured",1,"sas11",0,4,1,10236.8543186923,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"213","agree","agree","agree","agree",0,57,"always wrong","always wrong","coloured",1,"sas11",0,1,0,2924.81576053618,"wc","urban,formal",0,1,0,0,1,0,"agree","agree","agree","agree",1,0,0
"217","do not know","do not know","strongly agree","strongly disagree",0,50,"almost always wrong","always wrong","coloured",1,"sas11",0,3,1,7312.03940134044,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","strongly disagree",0,0,0
"218","agree","neither agree nor disagree","agree","do not know",0,42,"dk","always wrong","coloured",1,"sas11",0,1,0,4387.22364080427,"wc","urban,formal",0,1,0,0,1,0,"agree","neither agree nor disagree","agree","neither agree nor disagree",1,0,0
"219","agree","neither agree nor disagree","strongly agree","strongly disagree",1,36,"always wrong","always wrong","coloured",1,"sas11",0,2,2,3827.41823642808,"wc","urban,formal",1,1,0,0,1,0,"agree","neither agree nor disagree","strongly agree","strongly disagree",1,0,0
"220","agree","agree","strongly agree","strongly disagree",1,80,"always wrong","always wrong","coloured",1,"sas11",0,2,2,5735.46673708587,"wc","urban,formal",1,1,0,0,1,0,"agree","agree","strongly agree","strongly disagree",1,0,0
"221","neither agree nor disagree","neither agree nor disagree","agree","strongly disagree",1,48,"almost always wrong","always wrong","coloured",0,"sas11",0,1,1,7766.86981726991,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","strongly disagree",0,0,0
"225","disagree","neither agree nor disagree","agree","agree",1,48,"always wrong","always wrong","black or african",1,"sas11",1,4,1,19861.8405914875,"wc","urban,formal",1,1,1,0,0,0,"disagree","neither agree nor disagree","agree","agree",0,0,0
"228","do not know","do not know","disagree","neither agree nor disagree",1,39,"dk","not wrong at all","black or african",0,"sas11",1,1,1,13666.5254376838,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","disagree","neither agree nor disagree",0,0,1
"229","neither agree nor disagree","strongly agree","agree","neither agree nor disagree",1,44,"always wrong","almost always wrong","black or african",0,"sas11",1,1,1,10719.5271304831,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","strongly agree","agree","neither agree nor disagree",0,0,0
"231","strongly agree","agree","neither agree nor disagree","strongly agree",1,51,"wrong only sometimes","almost always wrong","black or african",1,"sas11",0,4,3,23522.7890012471,"wc","urban,formal",1,1,1,0,0,0,"strongly agree","agree","neither agree nor disagree","strongly agree",1,1,0
"232","agree","neither agree nor disagree","agree","neither agree nor disagree",0,53,"almost always wrong","almost always wrong","black or african",1,"sas11",1,3,1,27333.0521569552,"wc","urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","agree","neither agree nor disagree",1,0,0
"236","neither agree nor disagree","agree","agree","agree",0,59,"wrong only sometimes","wrong only sometimes","black or african",0,"sas11",1,3,1,21783.4695129527,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","agree","agree","agree",0,1,1
"242","agree","agree","agree","disagree",0,54,"almost always wrong","almost always wrong","black or african",0,"sas11",1,3,1,15625.9826036672,"wc","urban,informal",1,0,1,0,0,0,"agree","agree","agree","disagree",1,0,0
"243","agree","agree","strongly agree","strongly disagree",1,80,"always wrong","always wrong","black or african",1,"sas11",1,3,2,23401.7660959264,"wc","urban,informal",1,0,1,0,0,0,"agree","agree","strongly agree","strongly disagree",1,0,0
"245","agree","neither agree nor disagree","agree","agree",0,29,"not wrong at all","not wrong at all","black or african",1,"sas11",1,1,0,12233.7498861864,"wc","urban,formal",0,1,1,0,0,0,"agree","neither agree nor disagree","agree","agree",1,1,1
"246","neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,23,"always wrong","always wrong","black or african",1,"sas11",1,1,0,5880.6969745786,"wc","urban,formal",0,1,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"248","disagree","neither agree nor disagree","agree","agree",0,52,"almost always wrong","almost always wrong","coloured",0,"sas11",0,1,0,13487.2547334395,"wc","urban,formal",0,1,0,0,1,0,"disagree","neither agree nor disagree","agree","agree",0,0,0
"252","disagree",NA,"neither agree nor disagree","agree",1,51,"wrong only sometimes","almost always wrong","black or african",0,"sas11",1,2,2,16337.6013686797,"wc","urban,formal",1,1,1,0,0,0,"disagree","neither agree nor disagree","neither agree nor disagree","agree",0,1,0
"253","neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,71,"almost always wrong","almost always wrong","black or african",0,"sas11",1,3,2,26790.6282102456,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"254","agree","disagree","neither agree nor disagree","neither agree nor disagree",1,75,"not wrong at all","wrong only sometimes","black or african",1,"sas11",0,2,2,17642.0909237358,"wc","urban,formal",1,1,1,0,0,0,"agree","disagree","neither agree nor disagree","neither agree nor disagree",1,1,1
"255","agree","agree","neither agree nor disagree","agree",1,86,"wrong only sometimes","wrong only sometimes","black or african",1,"sas11",0,3,3,26798.8188314386,"wc","urban,formal",1,1,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,1,1
"256","agree","strongly agree","agree","agree",1,50,"wrong only sometimes","always wrong","black or african",1,"sas11",1,4,2,23834.2085607804,"wc","urban,formal",1,1,1,0,0,0,"agree","strongly agree","agree","agree",1,1,0
"257","agree","neither agree nor disagree","agree","agree",1,54,"wrong only sometimes","wrong only sometimes","black or african",1,"sas11",0,5,5,27806.5765300733,"wc","urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","agree","agree",1,1,1
"259","agree","disagree","neither agree nor disagree","agree",0,42,"wrong only sometimes","wrong only sometimes","black or african",1,"sas11",0,2,1,10719.5271304831,"wc","urban,formal",1,1,1,0,0,0,"agree","disagree","neither agree nor disagree","agree",1,1,1
"260","agree","disagree","neither agree nor disagree","agree",1,34,"always wrong","always wrong","black or african",1,"sas11",1,1,1,12233.7498861864,"wc","urban,formal",1,1,1,0,0,0,"agree","disagree","neither agree nor disagree","agree",1,0,0
"261","agree","agree","agree","neither agree nor disagree",1,41,"always wrong","always wrong","black or african",1,"sas11",1,4,3,16079.2906957246,"wc","urban,formal",1,1,1,0,0,0,"agree","agree","agree","neither agree nor disagree",1,0,0
"264","agree","neither agree nor disagree","agree","neither agree nor disagree",0,51,"almost always wrong","wrong only sometimes","black or african",1,"sas11",1,3,0,19861.8405914875,"wc","urban,formal",0,1,1,0,0,0,"agree","neither agree nor disagree","agree","neither agree nor disagree",1,0,1
"265","neither agree nor disagree","agree","neither agree nor disagree","agree",1,65,"wrong only sometimes","almost always wrong","black or african",0,"sas11",1,1,1,18350.6248292796,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","agree","neither agree nor disagree","agree",0,1,0
"267","neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",1,38,"almost always wrong","wrong only sometimes","black or african",0,"sas11",0,1,1,19685.9277515659,"wc","urban,informal",1,0,1,0,0,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,1
"271","agree","disagree","neither agree nor disagree","disagree",0,26,"almost always wrong","always wrong","black or african",1,"sas11",0,1,0,6561.97628483285,"wc","urban,informal",0,0,1,0,0,0,"agree","disagree","neither agree nor disagree","disagree",1,0,0
